
START Gz Ax Ay Index Gx Gy END
START -0.6641221374045801 0.159423828125 -0.063232421875 2 -2.053435114503817 4.687022900763359 END
START -0.20610687022900764 0.25048828125 0.008056640625 3 -0.1297709923664122 3.885496183206107 END
START -1.8931297709923665 0.260009765625 0.003173828125 4 -0.26717557251908397 0.8625954198473282 END
START 0.1450381679389313 0.25927734375 0.009765625 5 -0.3511450381679389 0.4122137404580153 END
START 0.16793893129770993 0.264404296875 0.009521484375 6 -0.33587786259541985 0.5954198473282443 END
START 0.05343511450381679 0.261474609375 0.0068359375 7 -0.6030534351145038 0.732824427480916 END
START 0.10687022900763359 0.262451171875 0.0146484375 8 -0.46564885496183206 0.7938931297709924 END
START 1.3740458015267176 0.262939453125 0.009521484375 9 -0.4732824427480916 0.12213740458015267 END
START -0.25190839694656486 0.25390625 0.028564453125 10 -1.1755725190839694 -1.6870229007633588 END
START 0.44274809160305345 0.25634765625 -0.0068359375 11 -0.1450381679389313 -3.1297709923664123 END
START -0.9541984732824428 0.25634765625 0.00439453125 12 0.5801526717557252 -2.5114503816793894 END
START 1.7251908396946565 0.291259765625 -0.02880859375 13 3.969465648854962 0.24427480916030533 END
START -0.3435114503816794 0.235107421875 0.065673828125 14 3.2213740458015265 0.9770992366412213 END
START -1.9236641221374047 0.255615234375 0.00634765625 15 1.5877862595419847 0.24427480916030533 END
START 0.4122137404580153 0.250732421875 0.03076171875 16 -1.0229007633587786 -0.5572519083969466 END
START 0.16793893129770993 0.2607421875 0.019775390625 17 -0.9007633587786259 -0.3435114503816794 END
START 0.2366412213740458 0.2802734375 0.019775390625 18 -1.83206106870229 0.21374045801526717 END
START 0.20610687022900764 0.266845703125 0.016845703125 19 0.35877862595419846 0.2748091603053435 END
START 0.183206106870229 0.2666015625 0.021728515625 20 -0.3435114503816794 -0.15267175572519084 END
START 0.17557251908396945 0.280029296875 0.015380859375 21 -0.04580152671755725 0.08396946564885496 END
START 0.183206106870229 0.250732421875 0.013916015625 22 0.26717557251908397 0.16793893129770993 END
START 0.1450381679389313 0.2685546875 0.01171875 23 0.030534351145038167 0.07633587786259542 END
START 0.19083969465648856 0.2529296875 0.009521484375 24 -0.030534351145038167 0.0916030534351145 END
START 0.16793893129770993 0.2666015625 0.0146484375 25 -0.04580152671755725 0.17557251908396945 END
START 0.16030534351145037 0.252197265625 0.027587890625 26 -0.19083969465648856 0.09923664122137404 END
START 0.10687022900763359 0.258056640625 0.015869140625 27 -0.1984732824427481 0.06870229007633588 END
START 0.16793893129770993 0.257568359375 0.013427734375 28 -0.1450381679389313 0.07633587786259542 END
START 0.16793893129770993 0.26123046875 0.01025390625 29 1.8931297709923665 0.03816793893129771 END
START 0.16030534351145037 0.262451171875 0.009765625 30 0.05343511450381679 0.06870229007633588 END
START 0.19083969465648856 0.261474609375 0.01025390625 31 0.0916030534351145 0.12213740458015267 END
START 0.16030534351145037 0.25927734375 0.02880859375 32 -1.9083969465648856 0.0916030534351145 END
START 0.1984732824427481 0.263671875 0.019775390625 33 -0.11450381679389313 0.10687022900763359 END
START 0.19083969465648856 0.25146484375 0.020751953125 34 -0.183206106870229 0.0916030534351145 END
START 0.183206106870229 0.255615234375 0.00244140625 35 -0.1297709923664122 0.0916030534351145 END
START 0.19083969465648856 0.25927734375 0.016357421875 36 -0.09923664122137404 0.061068702290076333 END
START 0.17557251908396945 0.27978515625 0.010986328125 37 0.007633587786259542 0.0916030534351145 END
START 0.17557251908396945 0.27294921875 0.0146484375 38 0.007633587786259542 0.12213740458015267 END
START 0.15267175572519084 0.27392578125 0.010009765625 39 0.05343511450381679 0.11450381679389313 END
START 0.1984732824427481 0.272216796875 0.0107421875 40 -0.022900763358778626 0.12213740458015267 END
START 0.183206106870229 0.25390625 0.016357421875 41 -0.16793893129770993 0.1297709923664122 END
START 0.1450381679389313 0.2509765625 0.02099609375 42 -0.20610687022900764 0.06870229007633588 END
START 0.183206106870229 0.261474609375 0.0205078125 43 -0.183206106870229 0.0916030534351145 END
START 0.1984732824427481 0.264404296875 0.002197265625 44 -0.12213740458015267 0.07633587786259542 END
START 0.1984732824427481 0.261474609375 0.00732421875 45 0.022900763358778626 0.09923664122137404 END
START 0.15267175572519084 0.269287109375 0.0068359375 46 0.030534351145038167 0.10687022900763359 END
START 0.16030534351145037 0.263671875 0.01318359375 47 -1.9389312977099236 0.12213740458015267 END
START 0.1450381679389313 0.263916015625 0.02978515625 48 -0.030534351145038167 0.12213740458015267 END
START 0.16030534351145037 0.25830078125 0.022216796875 49 -0.1297709923664122 0.07633587786259542 END
START 0.17557251908396945 0.255859375 0.01513671875 50 -0.11450381679389313 0.061068702290076333 END
START 0.17557251908396945 0.255615234375 0.021728515625 51 -0.11450381679389313 0.06870229007633588 END
START 0.2366412213740458 0.275390625 0.001220703125 52 -0.03816793893129771 0.11450381679389313 END
START 0.20610687022900764 0.271484375 0.0078125 53 0.007633587786259542 0.13740458015267176 END
START 0.17557251908396945 0.2724609375 0.01025390625 54 0.03816793893129771 0.13740458015267176 END
START 0.1984732824427481 0.2724609375 0.009521484375 55 -0.007633587786259542 0.12213740458015267 END
START 0.20610687022900764 0.2529296875 0.02001953125 56 -0.0916030534351145 0.11450381679389313 END
START 0.17557251908396945 0.260009765625 0.013427734375 57 -0.1450381679389313 0.07633587786259542 END
START 0.1984732824427481 0.260009765625 0.018798828125 58 -0.16793893129770993 0.08396946564885496 END
START 0.16793893129770993 0.2607421875 0.0146484375 59 -0.11450381679389313 0.07633587786259542 END
